Company In;Company Out;Change Date;Ticker;Ticker
ADIDAS;ASSICURAZIONI GENERALI;September 19, 2016;ADS;G.MI
AHOLD DELHAIZE;UNICREDIT;September 19, 2016;AD.AS;UCG.MI
CRH;CARREFOUR;September 19, 2016;CRH.L;CA.PA
FRESENIUS;REPSOL;September 21, 2015;FRE.DE;REP.MC
SAFRAN;RWE;September 21, 2015;SAF.PA;RWE.DE
NOKIA;CRH;September 22, 2014;NOKIA.HE;CRH.L
DEUTSCHE POST;ARCELORMITTAL;September 23, 2013;DPW.DE;MT.AS
ASML Holding;Deutsche Boerse;June 18, 2012;ASML.AS;DB1.DE
Essilor International ;Telecom Italia SPA;June 18, 2012;ESL.TI;TI
VOLKSWAGEN PREF;ALSTOM;September 19, 2011;VOW3.DE;ALO.PA
INDITEX;CREDIT AGRICOLE;September 19, 2011;ITX.MC;ACAEW.PA
Bayrische Motoren Werken;AEGON NV;September 20, 2010;BMW.DE;AEG
RWE AG;PHILIPS ELECTRONICS N.V.;September 21, 2009;RWE.DE;PHIA.AS
Alstrom ;Alcatel-Lucent;September 22, 2008;ALO.PA;ALCTL.IS
Alcelor Mittal;Allied Irish Banks plc;September 24, 2007;MTS.MC;A5G.F
Schneider Electronics SA;Koninklijke Ahold NV;September 24, 2007;SU.PA;AHOD.F
Vinci SA;LAFARGE AG;September 24, 2007;DG.PA;LHN.PA
CRH plc;Fortis;September 21, 2009;CRH.L;FO4N.F
Deutsche Börse;ABN AMRO;October 15, 2007;DB1.DE;AB2.F
Volkswagen;ENDESA;October 10, 2007;VOW3.DE;ENA.F
Renault;Royal Dutch Petroleum;July 20, 2005;RNO.PA;RDSA.AS
